Book_title,Book_author,Book_length
End Zone Love,By: Love Belvin,Length: 14 hrs and 50 mins
Mr. Broody,By: Piper Rayne,Length: 9 hrs and 13 mins
Broken by Daylight,By: Elizabeth Helen,Length: 23 hrs and 59 mins
Threat from the Deep,By: Shane Purdy,Length: 10 hrs and 29 mins
Framed in Death,By: J. D. Robb,Length: 12 hrs and 51 mins
The Seven Rings,By: Nora Roberts,Length: 14 hrs and 30 mins
Wild Bliss,"By: Lexi Blake, Sophie Oak",Length: 13 hrs and 56 mins
Garden of Sanctuary,By: pirateaba,Length: 32 hrs and 59 mins
The First Curse Is the Deepest,By: Lily Harper Hart,Length: 7 hrs and 46 mins
Rebel World,By: B.V. Larson,Length: 13 hrs and 20 mins
Threshold,By: Will Wight,Length: 8 hrs and 35 mins
Lost Light: The Complete Survival Thriller Series Box Set,By: Kyla Stone,Length: 55 hrs and 51 mins
The Fallen and the Kiss of Dusk,By: Carissa Broadbent,Length: 17 hrs and 46 mins
Throne of Glass (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs
Benjamin,"By: Aron Beauregard, Shane McKenzie",Length: 13 hrs and 46 mins
Home for the Holidays,By: Erin Zak,Length: 11 hrs and 17 mins
Defiance of the Fall 14,"By: TheFirstDefier, JF Brink",Length: 21 hrs and 54 mins
The Grandmother,By: Jane E. James,Length: 8 hrs and 39 mins
The Primal of Blood and Bone,By: Jennifer L. Armentrout,Length: 24 hrs
The Southern Fraud,By: Peter O'Mahoney,Length: 7 hrs and 10 mins
